REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REGION1,ATSODIFH1,S03B3,2053,0.0
REGION1,ATSODIFH1,S03B3,2054,0.0
REGION1,ATSODIFH1,S03B3,2055,0.0
REGION1,ATSODIFH1,S03B3,2056,0.0
REGION1,ATSODIFH1,S03B3,2057,0.0
REGION1,ATSODIFH1,S03B3,2058,0.0
REGION1,ATSODIFH1,S03B3,2059,0.0
REGION1,ATSODIFH1,S03B3,2060,0.0
REGION1,ATSODIFH1,S04B1,2015,2.38821e-05
REGION1,ATSODIFH1,S04B1,2016,2.38821e-05
REGION1,ATSODIFH1,S04B1,2017,2.38821e-05
REGION1,ATSODIFH1,S04B1,2018,2.38821e-05
REGION1,ATSODIFH1,S04B1,2019,2.38821e-05
REGION1,ATSODIFH1,S04B1,2020,2.38821e-05
REGION1,ATSODIFH1,S04B1,2021,2.38821e-05
REGION1,ATSODIFH1,S04B1,2022,2.38821e-05
REGION1,ATSODIFH1,S04B1,2023,2.38821e-05
REGION1,ATSODIFH1,S04B1,2024,2.38821e-05
REGION1,ATSODIFH1,S04B1,2025,2.38821e-05
REGION1,ATSODIFH1,S04B1,2026,2.38821e-05
REGION1,ATSODIFH1,S04B1,2027,2.38821e-05
REGION1,ATSODIFH1,S04B1,2028,2.38821e-05
REGION1,ATSODIFH1,S04B1,2029,2.38821e-05
REGION1,ATSODIFH1,S04B1,2030,2.38821e-05
REGION1,ATSODIFH1,S04B1,2031,2.38821e-05
REGION1,ATSODIFH1,S04B1,2032,2.38821e-05
REGION1,ATSODIFH1,S04B1,2033,2.38821e-05
REGION1,ATSODIFH1,S04B1,2034,2.38821e-05
REGION1,ATSODIFH1,S04B1,2035,2.38821e-05
REGION1,ATSODIFH1,S04B1,2036,2.38821e-05
REGION1,ATSODIFH1,S04B1,2037,2.38821e-05
REGION1,ATSODIFH1,S04B1,2038,2.38821e-05
REGION1,ATSODIFH1,S04B1,2039,2.38821e-05
REGION1,ATSODIFH1,S04B1,2040,2.38821e-05
REGION1,ATSODIFH1,S04B1,2041,2.38821e-05
REGION1,ATSODIFH1,S04B1,2042,2.38821e-05
REGION1,ATSODIFH1,S04B1,2043,2.38821e-05
REGION1,ATSODIFH1,S04B1,2044,2.38821e-05
REGION1,ATSODIFH1,S04B1,2045,2.38821e-05
REGION1,ATSODIFH1,S04B1,2046,2.38821e-05
REGION1,ATSODIFH1,S04B1,2047,2.38821e-05
REGION1,ATSODIFH1,S04B1,2048,2.38821e-05
REGION1,ATSODIFH1,S04B1,2049,2.38821e-05
REGION1,ATSODIFH1,S04B1,2050,2.38821e-05
REGION1,ATSODIFH1,S04B1,2051,2.38821e-05
